"Resultaten 1-476 van 476 voor 'Status voorkomen=2a,2b,2c,2d,2; Habitat=zoet water,zout water'"

"wetenschappelijke naam"	"populaire naam"	"status voorkomen"	"link"	
"Phoenicopterus ruber Linnaeus, 1758"	"Caribische flamingo"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177349"	
"Phorcus lineatus (Da Costa, 1778)"	"Tandtolhoren"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137626"	
"Physella heterostropha (Say, 1817)"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137860"	
"Pileolaria berkeleyana (Rioja, 1942)"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174742"	
"Pimephales promelas Rafinesque, 1820"	"Dikkopelrits"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172300"	
"Pistia stratiotes L."	"Watersla"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=119509"	
"Platorchestia platensis (Krøyer, 1845)"	"Diksprietspringer"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143355"	
"Platybdella anarrhichae (Diesing, 1859)"	""	"2 Exoot (onbepaald)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138293"	
"Plectropterus gambensis (Linnaeus, 1766)"	"Spoorwiekgans"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177353"	
"Pleurodeles waltl Michahelles, 1830"	"Ribbensalamander"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=182633"	
"Pleurosigma simonsenii Hasle"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=178893"	
"Poecilia reticulata Peters, 1859"	"Gup"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138711"	
"Polydora hoplura Claparède, 1870"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138034"	
"Polysiphonia harveyi Bailey"	"Violet buiswier"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=116433"	
"Polysiphonia senticulosa Harv."	"Puntig buiswier"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=116429"	
"Pontastacus leptodactylus (Eschscholtz, 1823)"	"Turkse rivierkreeft"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143788"	
"Pontederia cordata L."	"Moerashyacint"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=119426"	
"Porphyrio poliocephalus (Latham, 1801)"	"Grijskoppurperkoet"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=139523"	
"Porphyrio porphyrio (Linnaeus, 1758)"	"Purperkoet"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177354"	
"Posthodiplostomum cuticola (von Nordmann, 1832)"	""	"2 Exoot (onbepaald)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140124"	
"Potamopyrgus antipodarum (Gray, 1843)"	"Jenkins' waterhorentje"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137965"	
"Procambarus acutus (Girard, 1852)"	"Gestreepte Amerikaanse rivierkreeft"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143779"	
"Procambarus clarkii (Girard, 1852)"	"Rode Amerikaanse rivierkreeft"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143778"	
"Procambarus fallax (Hagen, 1870)"	"Everglades-moeraskreeft"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143780"	
"Procambarus fallax f.  virginalis (Hagen, 1870)"	"Marmerkreeft"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=171410"	
"Prokelisia marginata (Van Duzee, 1897)"	"Slijkgrascicade"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174975"	
"Proterorhinus semilunaris (Heckel, 1837)"	"Marmergrondel"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172303"	
"Pseudodiaptomus marinus Sato, 1913"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=183245"	
"Pseudopolydora paucibranchiata (Okuda, 1937)"	"Gestippelde tweedraadkokerworm"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=178477"	
"Pseudorasbora parva (Schlegel, 1842)"	"Blauwband"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138736"	
"Psiloteredo megotara (Forbes & Hanley, 1848)"	"Scheepsworm"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137311"	
"Ptilohyale littoralis (Stimpson, 1853)"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174351"	
"Rapana venosa (Valenciennes, 1846)"	"Geaderde stekelhoren"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174747"	
"Rhithropanopeus harrisii (Gould, 1841)"	"Zuiderzeekrabbetje"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143685"	
"Romanogobio belingi (Slastenenko, 1934)"	"Witvingrondel"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138573"	
"Ruditapes philippinarum (Adams & Reeve, 1850)"	"Filipijnse tapijtschelp"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174600"	
"Sagittaria graminea Michx."	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=180129"	
"Sagittaria latifolia Willd."	"Breed pijlkruid"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=119490"	
"Salvelinus alpinus (Linnaeus, 1758)"	"Riddervis"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138491"	
"Salvelinus fontinalis (Mitchill, 1815)"	"Bronforel"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138490"	
"Salvinia molesta Mitch."	"Grote vlotvaren"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=118367"	
"Salvinia natans (L.) All."	"Kleine vlotvaren"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=118366"	
"Sander lucioperca (Linnaeus, 1758)"	"Snoekbaars"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138611"	
"Sargassum muticum (Yendo) Fensholt"	"Japans bessenwier"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=117117"	
"Schizobrachiella verrilli (Maturo & Schopf, 1968)"	"Amerikaans mosdiertje"	"2 Exoot (onbepaald)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=182638"	
"Schoenoplectiella mucronata (L.) J.Jung & H.K.Choi"	"Ribbelbies"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=118625"	
"Scirpus cyperinus (L.) Kunth"	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=179357"	
"Sebastes schlegelii Hilgendorf, 1880"	"Schlegels roodbaars"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138460"	
"Sinanodonta woodiana (Lea, 1834)"	"Chinese vijvermossel"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=178519"	
"Sinelobus vanhaareni Bamber, 2014"	"Stanford's naaldkreeftje"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174543"	
"Smittoidea prolifica Osburn, 1952"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140363"	
"Spartina anglica C.E.Hubb."	"Engels slijkgras"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=118742"	
"Stenopelmus rufinasus Gyllenhal, 1835"	"Kroosvarensnuittorretje"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=153237"	
"Steromphala cineraria Linnaeus, 1758"	"Asgrauwe tolhoren"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137624"	
"Streblospio benedicti Webster, 1879"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138040"	
"Styela calva Monniot, Monniot & Millar, 1976"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=176705"	
"Styela clava Herdman, 1881"	"Knotszakpijp"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138836"	
"Stylochus flevensis (Hofker, 1930)"	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140272"	
"Suberites massa Nardo, 1847"	"Paddenstoelspons"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=136546"	
"Sycon scaldiense (Van Koolwijk, 1982)"	"Harige zakspons"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=136580"	
"Syllidia armata Quatrefages, 1866"	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138063"	
"Syllis gracilis Grube, 1840"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138066"	
"Synidotea laticauda Benedict, 1897"	"Brede brakwaterpissebed"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=171438"	
"Tadorna cana (Gmelin, 1789)"	"Kaapse casarca"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177363"	
"Tadorna tadornoides (Jardine & Selby, 1828)"	"Australische bergeend"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177364"	
"Tadorna variegata (Gmelin, 1789)"	"Paradijscasarca"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177365"	
"Telmatogeton japonicus Tokunaga, 1933"	"Japanse dansmug"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174161"	
"Teredo navalis Linnaeus, 1758"	"Paalworm"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137307"	
"Thalassiosira hendeyi Hasle & G.Fryxell"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=183237"	
"Thalassiosira nordenskioeldii Cleve"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=183238"	
"Thalassiosira punctigera (Castracane) Hasle"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=178897"	
"Theora lubrica Gould, 1861"	"Vensterglasschelp"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=186050"	
"Threskiornis aethiopicus (Latham, 1790)"	"Heilige ibis"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=139429"	
"Trachemys scripta subsp. elegans Wied-Neuwied, 1839"	"Roodwangschildpad"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138876"	
"Trachemys scripta Schoepff, 1792"	"Lettersierschildpad"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138875"	
"Trachemys scripta subsp. scripta Schoepff, 1792"	"Geelbuikschildpad"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177060"	
"Trachemys scripta subsp. troostii Holbrook, 1836"	"Geelwangschildpad"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177061"	
"Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985"	"Onverwacht mosdiertje"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140353"	
"Tridentiger barbatus (Günther, 1861)"	"Aziatische baardgrondel"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177402"	
"Trieres chinensis (Grev.) Ashworth & E.C.Ther."	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=178891"	
"Trinectes maculatus (Bloch & Schneider, 1801)"	"Amerikaanse tong"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174837"	
"Triturus carnifex Laurenti, 1768"	"Italiaanse kamsalamander"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=139966"	
"Tulipa sylvestris L."	"Bostulp"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=120980"	
"Tylodelphys clavata (von Nordmann, 1832)"	""	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140127"	
"Typha laxmannii Lepech."	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=179735"	
"Typha minima Funck ex Hoppe"	"Kleinste lisdodde"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=118951"	
"Ulva australis Aresch."	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=178829"	
"Umbra pygmaea (De Kay, 1842)"	"Amerikaanse hondsvis"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138498"	
"Uncinocythere occidentalis (Kozloff & Whitman, 1954)"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174349"	
"Undaria pinnatifida (Harv.) Suringar"	"Wakame"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=117132"	
"Uromunna sp."	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174092"	
"Urosalpinx cinerea (Say, 1822)"	"Amerikaanse oesterboorder"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137463"	
"Vallisneria spiralis L."	"Vallisneria"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=119528"	
"Vanellus armatus (Burchell, 1822)"	"Smidsplevier"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177368"	
"Vanellus spinosus (Linnaeus, 1758)"	"Sporenkievit"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177369"	
"Victorella pavida Saville-Kent, 1870"	""	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140421"	
"Vimba vimba Linnaeus, 1758"	"Blauwneus"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138738"	
"Viviparus acerosus (Bourguignat, 1862)"	"Donau-moerasslak"	"2 Exoot (onbepaald)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=176792"	
"Walkeria uva (Linnaeus, 1758)"	"Druifmosdiertje"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140418"	
"Watersipora subatra (Ortmann, 1890)"	"Bloedrode plooimosdiertje"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=173021"	
"Wolffia australiana (Benth.) Hartog & Plas"	"Smalle wolffia"	"2 Exoot (onbepaald)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=179022"	
"Wolffia columbiana H.Karst."	"Colombiaanse wolffia"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=179023"	
"Zeuxo holdichi Bamber, 1990"	"Schaarpissebed"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172782"	
