Synonym,Taxon
"Rabdophaga dubia (Kieffer, 1891)","Rabdophaga dubiosa Kieffer, 1913"
"Rabdophaga gemmarum Rubsaamen, 1916","Rabdophaga gemmicola (Kieffer, 1896)"
"Dasineura repentis Skuhrava, 1986","Rabdophaga jaapi Rubsaamen, 1916"
"Rabdophaga repentis Skuhrava, 1986","Rabdophaga jaapi Rubsaamen, 1916"
"Rabdophaga oculiperda Rubsaamen, 1921","Rabdophaga karschi (Kieffer, 1891)"
"Dasineura marginemtorquens (Bremi, 1847)","Rabdophaga marginemtorquens (Bremi, 1847)"
"Rabdophaga noduli (Rubsaamen, 1895)","Rabdophaga nervorum (Kieffer, 1895)"
"Rabdophaga superna (Kieffer, 1897)","Rabdophaga pulvini (Kieffer, 1891)"
"Ragas minuta (Zetterstedt, 1842)","Ragas unica Walker, 1837"
"Ragas saltella (Six, 1868)","Ragas unica Walker, 1837"
"Raja fyllae Lutken, 1888","Rajella fyllae (Lutken, 1887)"
"Epidermoptes rallicola Fain & Bochkov, 2003","Rallepidermoptes rallicola (Fain & Bochkov, 2003)"
"Protapanteles calceatus (Haliday, 1834)","Rasivalva calceata (Haliday, 1834)"
"Protapanteles marginatus (Nees, 1834)","Rasivalva marginata (Nees, 1834)"
"Ravinia haematodes (Meigen, 1826)","Ravinia pernix (Harris, 1780)"
"Ravinia striata (Fabricius, 1794)","Ravinia pernix (Harris, 1780)"
"Recilia coronifera (Marshall, 1866)","Recilia coronifer (Marshall, 1866)"
"Regulus ignicapillus (Temminck, 1820)","Regulus ignicapilla (Temminck, 1820)"
"Reichertella integrata (Walker, 1856)","Reichertella pulicaria (Loew, 1846)"
"Plemeliella betulicola (Kieffer, 1889)","Resseliella betulicola (Kieffer, 1889)"
"Cylichnina umbilicata (Montagu, 1803)","Retusa umbilicata (Montagu, 1803)"
"Rhagoletis signata (Meigen, 1826)","Rhagoletis cerasi (Linnaeus, 1758)"
"Rhagoletis indifferens Curran, 1932","Rhagoletis cingulata (Loew, 1862)"
"Rhagonycha limbata Thomson, 1864","Rhagonycha nigriventris Motschulsky, 1860"
"Rhamphomyia bicolor (Macquart, 1823)","Rhamphomyia barbata (Macquart, 1823)"
"Rhamphomyia pennata Macquart, 1827","Rhamphomyia barbata (Macquart, 1823)"
"Rhamphomyia filata Zetterstedt, 1842","Rhamphomyia caesia Meigen, 1822"
"Rhamphomyia subcinerascens Collin, 1926","Rhamphomyia cinerascens (Meigen, 1804)"
"Rhamphomyia hirsutipes Collin, 1926","Rhamphomyia erythrophthalma Meigen, 1830"
"Rhamphomyia serotina De Meijere, 1918","Rhamphomyia erythrophthalma Meigen, 1830"
"Rhamphomyia gracilipes Loew, 1840","Rhamphomyia geniculata Meigen, 1830"
"Rhamphomyia squamigera Loew, 1840","Rhamphomyia geniculata Meigen, 1830"
"Rhamphomyia dispar Zetterstedt, 1838","Rhamphomyia griseola Zetterstedt, 1838"
"Rhamphomyia pulicaria (Loew, 1869)","Rhamphomyia longipes (Meigen, 1804)"
"Rhamphomyia platyptera (Panzer, 1794)","Rhamphomyia marginata (Fabricius, 1787)"
"Rhamphomyia pulchra (Egger, 1860)","Rhamphomyia nigripennis (Fabricius, 1794)"
"Rhamphomyia nitidicollis Frey, 1913","Rhamphomyia obscuripennis Meigen, 1830"
"Rhamphomyia dentipes Zetterstedt, 1842","Rhamphomyia pilifer Meigen, 1838"
"Rhamphomyia propinqua De Meijere, 1918","Rhamphomyia sulcata (Meigen, 1804)"
"Rhamphomyia tenuirostris (Fallen, 1816)","Rhamphomyia variabilis (Fallen, 1816)"
"Rhantus notatus (Fabricius, 1781)","Rhantus frontalis (Marsham, 1802)"
"Nartus grapii (Gyllenhal, 1808)","Rhantus grapii (Gyllenhal, 1808)"
"Rhaphium zetterstedti (Parent, 1925)","Rhaphium caliginosum Meigen, 1824"
"Rhaphium spinicoxa Loew, 1850","Rhaphium commune (Meigen, 1824)"
"Rhaphium discolor Zetterstedt, 1838","Rhaphium consobrinum (Zetterstedt, 1843)"
"Rhaphium bilamellatum (Becker, 1918)","Rhaphium fissum Loew, 1850"
"Rhaphium nemorum Meigen, 1830","Rhaphium laticorne (Fallen, 1823)"
"Rhaphium praerosum Loew, 1850","Rhaphium riparium (Meigen, 1824)"
"Rheocricotopus dispar (Goetghebuer, 1913)","Rheocricotopus fuscipes (Kieffer, 1909)"
"Rheomorpha neizvestnovae (Lastockin, 1935)","Rheomorpha neistwestnovae (Lastochkin, 1935)"
"Halticoptera smaragdina (Walker, 1833)","Rhicnocoelia constans (Walker, 1836)"
"Rhingia austriaca (Meigen, 1830)","Rhingia campestris Meigen, 1822"
"Sternostomum rhinolethrum Trouessart, 1895","Rhinonyssus rhinolethrum (Trouessart, 1895)"
"Oppiella dubia Hammer, 1962","Rhinoppia fallax (Paoli, 1908)"
"Damaeosoma vitrinum Hull, 1914","Rhinoppia obsoleta (Paoli, 1908)"
"Gymnetron antirrhini (Paykull, 1800)","Rhinusa antirrhini (Paykull, 1800)"
"Gymnetron asellus (Gravenhorst, 1807)","Rhinusa asellus (Gravenhorst, 1807)"
"Gymnetron collinum (Gyllenhal, 1813)","Rhinusa collina (Gyllenhal, 1813)"
"Rhinusa collinum (Gyllenhal, 1813)","Rhinusa collina (Gyllenhal, 1813)"
"Gymnetron hispidum Brulle, 1832","Rhinusa hispida (Brulle, 1832)"
"Gymnetron linariae (Panzer, 1795)","Rhinusa linariae (Panzer, 1795)"
"Gymnetron netum (Germar, 1821)","Rhinusa neta (Germar, 1821)"
"Gymnetron tetrum (Fabricius, 1793)","Rhinusa tetra (Fabricius, 1793)"
"Gymnetron thapsicola (Germar, 1821)","Rhinusa thapsicola (Germar, 1821)"
"Rhipidia duplicata (Doane, 1900)","Rhipidia maculata Meigen, 1818"
"Rhithrogena diaphana Navas, 1916","Rhithrogena savoiensis Alba-Tercedor & Sowa, 1987"
"Rhizocaulus verticillata (Linnaeus, 1758)","Rhizocaulus verticulatus (Linnaeus, 1758)"
"Acanthococcus devoniensis (Green, 1896)","Rhizococcus devoniensis (Green, 1896)"
"Eriococcus devoniensis (Green, 1896)","Rhizococcus devoniensis (Green, 1896)"
"Acanthococcus greeni (Newstead, 1898)","Rhizococcus greeni (Newstead, 1898)"
"Eriococcus greeni (Newstead, 1898)","Rhizococcus greeni (Newstead, 1898)"
"Rhizoglyphus callae Oudemans, 1924","Rhizoglyphus echinopus (Fumouze & Robin, 1868)"
"Rhizoglyphus lucasii Hughes, 1948","Rhizoglyphus echinopus (Fumouze & Robin, 1868)"
"Tyroglyphus echinopus Fumouze & Robin, 1868","Rhizoglyphus echinopus (Fumouze & Robin, 1868)"
"Rhizoglyphus engeli Van Eyndhoven, 1968","Rhizoglyphus robini Claparede, 1869"
"Rhizoglyphus hyacinthi Banks, 1937","Rhizoglyphus robini Claparede, 1869"
"Rhizoglyphus solani Oudemans, 1924","Rhizoglyphus robini Claparede, 1869"
"Cyanostolus aeneus (Richter, 1820)","Rhizophagus aeneus Richter, 1820"
"Rhizophagus parvulus (Paykull, 1800)","Rhizophagus fenestralis (Linnaeus, 1758)"
"Rhodacarus ancorae Karg, 1971","Rhodacarus clavulatus Athias-Henriot, 1961"
"Rhodeus sericeus (Pallas, 1776)","Rhodeus amarus (Bloch, 1782)"
"Pempelia formosa (Haworth, 1811)","Rhodophaea formosa (Haworth, 1811)"
"Anoetus lanceocrinus Oudemans, 1914","Rhopalanoetus fimetarius (Canestrini & Berlese, 1882)"
"Anoetus tienhoveni Oudemans, 1926","Rhopalanoetus fimetarius (Canestrini & Berlese, 1882)"
"Histiostoma fimetarium Canestrini & Berlese, 1882","Rhopalanoetus fimetarius (Canestrini & Berlese, 1882)"
"Misopatha baccarum (Wachtl, 1883)","Rhopalomyia baccarum (Wachtl, 1883)"
"Rhopalopyx elongatus Wagner, 1952","Rhopalopyx elongata Wagner, 1952"
"Rhopalosifoninus staphyleae (Koch, 1854)","Rhopalosiphoninus staphyleae (Koch, 1854)"
"Rhyacodrilus coccineus (Vejdovsky, 1875)","Rhyacodrilus coccineus (Vejdovsky, 1876)"
"Rhyacodrilus subterraneus Hrabe, 1931","Rhyacodrilus subterraneus Hrabe, 1963"
"Rynchotalona falcata (Sars, 1862)","Rhynchotalona falcata (Sars, 1862)"
"Phthiracarus canestrinii Michael, 1898","Rhysotritia ardua (Koch, 1841)"
"Tritia lentula Berlese, 1887","Rhysotritia ardua (Koch, 1841)"
"Rhizopertha dominica (Fabricius, 1792)","Rhyzopertha dominica (Fabricius, 1792)"
"Epidermoptes bifurcata Rivolta, 1876","Rivoltasia bifurcata (Rivolta, 1876)"
"Gastrochaena dubia (Pennant, 1777)","Rocellaria dubia (Pennant, 1777)"
"Metrioptera roeselii (Hagenbach, 1872)","Roeseliana roeselii (Hagenbach, 1872)"
"Rondania punctulata (Van der Wulp, 1869)","Rondania dispar (Dufour, 1851)"
"Rondaniella variegata (Winnertz, 1863)","Rondaniella dimidiata (Meigen, 1804)"
"Raja alba Lacepede, 1803","Rostroraja alba (Lacepede, 1803)"
"Cuthona amoena (Alder & Hancock, 1845)","Rubramoena amoena (Alder & Hancock, 1845)"
"Trinchesia amoena (Alder & Hancock, 1845)","Rubramoena amoena (Alder & Hancock, 1845)"
"Cuthona rubescens Picton & Brown, 1978","Rubramoena rubescens (Picton & Brown, 1978)"
"Trinchesia rubescens (Picton & Brown, 1978)","Rubramoena rubescens (Picton & Brown, 1978)"
"Venerupis decussata (Linnaeus, 1758)","Ruditapes decussatus (Linnaeus, 1758)"
"Tapes philippinarum (Adams & Reeve, 1850)","Ruditapes philippinarum (Adams & Reeve, 1850)"
"Venerupis philippinarum (Adams & Reeve, 1850)","Ruditapes philippinarum (Adams & Reeve, 1850)"
"Rugilus scutellatus (Motschulsky, 1858)","Rugilus angustatus (Geoffroy, 1785)"
"Nenteria breviunguiculata (Willmann, 1949)","Ruhmnenteria breviunguiculata (Willmann, 1949)"
"Pseuduropoda breviunguiculata Willmann, 1949","Ruhmnenteria breviunguiculata (Willmann, 1949)"
"Acalles hypocritus Boheman, 1837","Ruteria hypocrita (Boheman, 1837)"
"Leptura maculata Poda, 1761","Rutpela maculata (Poda, 1761)"
"Strangalia maculata (Poda, 1761)","Rutpela maculata (Poda, 1761)"
"Bryaxis laminata Motschulsky, 1836","Rybaxis longicornis (Leach, 1817)"
"Rymosia minor Landrock, 1925","Rymosia bifida Edwards, 1925"
"Sabellaria spinulosa Leuckart, 1849","Sabellaria spinulosa (Leuckart, 1849)"
"Adelges abietis (Linnaeus, 1758)","Sacchiphantes abietis (Linnaeus, 1758)"
"Phlyctidobia solmsi (Kieffer, 1906)","Sackenomyia reaumurii (Bremi, 1847)"
"Liocranum rutilans (Thorell, 1875)","Sagana rutilans (Thorell, 1875)"
"Rhinosimus ruficollis (Linnaeus, 1760)","Salpingus ruficollis (Linnaeus, 1760)"
"Saltella scutellaris (Fallen, 1820)","Saltella sphondylii (Schrank, 1803)"
"Caloglyphus rodionovi Zachvatkin, 1941","Sancassania berlesei (Michael, 1903)"
"Tyroglyphus berlesei Michael, 1903","Sancassania berlesei (Michael, 1903)"
"Tyroglyphus mycophagus Berlese, 1881","Sancassania mycophagus (Berlese, 1881)"
"Tyroglyphus mycophagus Megnin, 1874","Sancassania mycophagus (Berlese, 1881)"
"Sapromyza sordida Haliday, 1833","Sapromyza halidayi Shatalkin, 2000"
"Sapromyza simplex Loew, 1847","Sapromyza simplicior Hendel, 1908"
"Sapromyza bipunctata Meigen, 1830","Sapromyzosoma quadricincta (Becker, 1895)"
"Sapromyza quadricincta Becker, 1895","Sapromyzosoma quadricincta (Becker, 1895)"
"Sapromyza quadripunctata (Linnaeus, 1767)","Sapromyzosoma quadripunctata (Linnaeus, 1767)"
"Sarcophaga cruentata Meigen, 1826","Sarcophaga africa (Wiedemann, 1824)"
"Sarcophaga nurus Rondani, 1860","Sarcophaga africa (Wiedemann, 1824)"
"Sarcophaga setipennis Rondani, 1860","Sarcophaga anaces Walker, 1849"
"Sarcophaga falculata Pandelle, 1896","Sarcophaga argyrostoma (Robineau-Desvoidy, 1830)"
"Sarcophaga scoparia Pandelle, 1896","Sarcophaga caerulescens Zetterstedt, 1838"
"Sarcophaga schulzi Muller, 1922","Sarcophaga carnaria (Linnaeus, 1758)"
"Sarcophaga vulgaris Rohdendorf, 1937","Sarcophaga carnaria (Linnaeus, 1758)"
"Sarcophaga offuscata Meigen, 1826","Sarcophaga dissimilis Meigen, 1826"
"Sarcophaga iuvenis Rondani, 1860","Sarcophaga filia Rondani, 1860"
"Sarcophaga juvenis Rondani, 1860","Sarcophaga filia Rondani, 1860"
"Sarcophaga obscurata (Rohdendorf, 1937)","Sarcophaga rondaniana Rohdendorf, 1937"
"Sarcophaga clathrata Meigen, 1826","Sarcophaga sexpunctata (Fabricius, 1805)"
"Sarcophaga laciniata Pandelle, 1896","Sarcophaga subulata Pandelle, 1896"
"Sarcophaga vicina Villeneuve, 1899","Sarcophaga subvicina Rohdendorf, 1937"
"Sarcophaga frenata Pandelle, 1896","Sarcophaga vagans Meigen, 1826"
"Sarcophaga atropos Meigen, 1826","Sarcophaga variegata (Scopoli, 1763)"
"Acarus scabiei Linnaeus, 1758","Sarcoptes scabiei (Linnaeus, 1758)"
"Sarcoptes equi Rainbow, 1906","Sarcoptes scabiei (Linnaeus, 1758)"
"Sarcoptes homines Raspail, 1834","Sarcoptes scabiei (Linnaeus, 1758)"
"Sarcoptes suis Seddon, 1952","Sarcoptes scabiei (Linnaeus, 1758)"
"Sarcoptes wombati Railliet, 1893","Sarcoptes scabiei (Linnaeus, 1758)"
"Theridion blackwalli Cambridge, 1871","Sardinidion blackwalli (Cambridge, 1871)"
"Sargus reaumuri Meigen, 1804","Sargus bipunctatus (Scopoli, 1763)"
"Sargus infuscatus Meigen, 1822","Sargus iridatus (Scopoli, 1763)"
"Amphiascus tenellus Sars, 1906","Sarsamphiascus tenellus (Sars, 1906)"
"Coryne lovenii (Sars, 1846)","Sarsia lovenii (Sars, 1846)"
"Coryne sarsii (Loven, 1836)","Sarsia tubulosa (Sars, 1835)"
"Sarsia sarsii (Loven, 1836)","Sarsia tubulosa (Sars, 1835)"
"Protapanteles eugeni Papp, 1972","Sathon eugeni (Papp, 1972)"
"Protapanteles falcatus (Nees, 1834)","Sathon falcatus (Nees, 1834)"
"Protapanteles fausta (Nixon, 1973)","Sathon fausta (Nixon, 1973)"
"Protapanteles lateralis (Haliday, 1834)","Sathon lateralis (Haliday, 1834)"
"Savignya frontata Blackwall, 1833","Savignia frontata Blackwall, 1833"
"Saxicola maura (Pallas, 1773)","Saxicola maurus (Pallas, 1773)"
"Scaeva unicolor Curtis, 1834","Scaeva pyrastri (Linnaeus, 1758)"
"Scaptodrosophila guyenoti (Burla, 1948)","Scaptodrosophila deflexa (Duda, 1924)"
"Scaptomyza apicalis Hardy, 1849","Scaptomyza flava (Fallen, 1823)"
"Scaptomyza flaveola (Meigen, 1830)","Scaptomyza flava (Fallen, 1823)"
"Scaptomyza incana (Meigen, 1830)","Scaptomyza graminum (Fallen, 1823)"
"Scaptomyza tetrasticha Becker, 1908","Scaptomyza graminum (Fallen, 1823)"
"Scaptomyza disticha (Duda, 1921)","Scaptomyza pallida (Zetterstedt, 1847)"
"Eumaeus inexpectatus Oudemans, 1903","Scarabaspis inexpectatus (Oudemans, 1903)"
"Hyletastis inexpectatus (Oudemans, 1903)","Scarabaspis inexpectatus (Oudemans, 1903)"
"Scatella sorbillans (Haliday, 1839)","Scatella paludum (Meigen, 1830)"
"Scatella aestuans (Haliday, 1833)","Scatella subguttata (Meigen, 1830)"
"Scathophaga semiatra (De Meijere, 1907)","Scathophaga furcata (Say, 1823)"
"Scathophaga squalida Meigen, 1826","Scathophaga furcata (Say, 1823)"
"Scathophaga maculipes (Zetterstedt, 1846)","Scathophaga lutaria (Fabricius, 1794)"
"Scathophaga merdaria (Fabricius, 1794)","Scathophaga stercoraria (Linnaeus, 1758)"
"Scathophaga spurca (Meigen, 1826)","Scathophaga suilla (Fabricius, 1794)"
"Scatophila flavitarsis (Zetterstedt, 1846)","Scatophila noctula (Meigen, 1830)"
"Scatophila laevigata (Loew, 1860)","Scatophila noctula (Meigen, 1830)"
"Scatopsciara falsaria (Winnertz, 1867)","Scatopsciara atomaria (Zetterstedt, 1851)"
"Scatopsciara vivida (Winnertz, 1867)","Scatopsciara atomaria (Zetterstedt, 1851)"
"Anarete coracina (Zetterstedt, 1851)","Scatopsciara vitripennis (Meigen, 1818)"
"Scatopsciara coracina (Zetterstedt, 1851)","Scatopsciara vitripennis (Meigen, 1818)"
"Scatopsciara quinquelineata (Macquart, 1834)","Scatopsciara vitripennis (Meigen, 1818)"
"Sceptonia nitida (Meigen, 1830)","Sceptonia nigra (Meigen, 1804)"
"Oribata lucasi Nicolet, 1855","Scheloribates laevigatus (Koch, 1836)"
"Oribates michaeli Hull, 1914","Scheloribates laevigatus (Koch, 1836)"
"Halticoptera poreira (Walker, 1848)","Schimitschekia populi Boucek, 1965"
"Schizohelea copiosus (Winnertz, 1852)","Schizohelea leucopeza (Meigen, 1804)"
"Dugesia lugubris (Schmidt, 1861)","Schmidtea lugubris (Schmidt, 1861)"
"Dugesia polychroa (Schmidt, 1861)","Schmidtea polychroa (Schmidt, 1861)"
"Thinophilus versutus Haliday, 1851","Schoenophilus versutus (Haliday, 1851)"
"Rhizoglyphus elongatus Banks, 1906","Schwiebea elongata (Banks, 1906)"
"Schwiebea athiasae Fain, 1977","Schwiebea elongata (Banks, 1906)"
"Schwiebea codognoensis Fain & Pagani, 1989","Schwiebea elongata (Banks, 1906)"
"Acotyledon eurynympha (Oudemans, 1911)","Schwiebea eurynympha (Oudemans, 1911)"
"Schwiebea tshernyshevi Zachvatkin, 1941","Schwiebea eurynympha (Oudemans, 1911)"
"Tyroglyphus erynympha Oudemans, 1911","Schwiebea eurynympha (Oudemans, 1911)"
"Sciapus vialis (Raddatz, 1873)","Sciapus contristans (Wiedemann, 1817)"
"Sciapus lugens (Meigen, 1824)","Sciapus longulus (Fallen, 1823)"
"Sciapus regalis (Meigen, 1824)","Sciapus zonatulus (Zetterstedt, 1843)"
"Sciara thomae (Linnaeus, 1767)","Sciara hemerobioides (Scopoli, 1763)"
"Sciara armata Winnertz, 1867","Sciara humeralis Zetterstedt, 1851"
"Sciara marginata Mohrig & Krivosheina, 1983","Sciara ulrichi Menzel & Mohrig, 1998"
"Scleroprocta danica (Nielsen, 1923)","Scleroprocta sororcula (Zetterstedt, 1851)"
"Lumbrineris fragilis (Muller, 1766)","Scoletoma fragilis (Muller, 1776)"
"Scoliocentra villosula Czerny, 1924","Scoliocentra villosa (Meigen, 1830)"
"Psetta maxima (Linnaeus, 1758)","Scophthalmus maximus (Linnaeus, 1758)"
"Scotina palliardi (Koch, 1881)","Scotina palliardii (Koch, 1881)"
"Megninia ibidis Trouessart, 1885","Scutomegninia ibidis (Trouessart, 1885)"
"Scutovertex ovalis Oudemans, 1900","Scutovertex minutus (Koch, 1836)"
"Pteronyssoides atticorae Cerny, 1975","Scutulanyssus obscurus (Berlese, 1884)"
"Pteronyssoides besselingi (Oudemans, 1925)","Scutulanyssus obscurus (Berlese, 1884)"
"Pteronyssoides bifurcatus (Hall, 1912)","Scutulanyssus obscurus (Berlese, 1884)"
"Pteryonyssus obscurus Berlese, 1884","Scutulanyssus obscurus (Berlese, 1884)"
"Trouessartia obscurus (Berlese, 1884)","Scutulanyssus obscurus (Berlese, 1884)"
"Scymnus mimulus Capra & Fursch, 1967","Scymnus schmidti Fursch, 1958"
"Sebastes marinus (Linnaeus, 1758)","Sebastes norvegicus (Linnaeus, 1758)"
"Lamprotatus clavigerum (Thomson, 1876)","Seladerma diffine (Walker, 1833)"
"Selandria sixii Snellen van Vollenhoven, 1858","Selandria melanosterna (Serville, 1823)"
"Sellnickochthonius rostratus Krivolutsky, 1975","Sellnickochthonius hungaricus (Balogh, 1943)"
"Brachychthonius arcticus Hammer, 1952","Sellnickochthonius immaculatus (Forsslund, 1942)"
"Brachychthonius gygeri Schweizer, 1963","Sellnickochthonius immaculatus (Forsslund, 1942)"
"Brachychthonius obscurus Krivolutsky, 1966","Sellnickochthonius immaculatus (Forsslund, 1942)"
"Brachychthonius semiornatus Evans, 1952","Sellnickochthonius immaculatus (Forsslund, 1942)"
"Brachychthonius striatus Willmann, 1956","Sellnickochthonius immaculatus (Forsslund, 1942)"
"Brachychochthonius suecicus Forsslund, 1942","Sellnickochthonius suecicus (Forsslund, 1942)"
"Brachychthonius jugatus Niedbala, 1972","Sellnickochthonius suecicus (Forsslund, 1942)"
"Pediculus cerambycinus Scopoli, 1763","Sennertia cerambycina (Scopoli, 1763)"
"Trichotarsus manicati Giard, 1900","Sennertionyx manicati (Giard, 1900)"
"Senotainia melaleuca (Meigen, 1824)","Senotainia conica (Fallen, 1810)"
"Sepedon haeffneri Fallen, 1820","Sepedon spinipes (Scopoli, 1763)"
"Sepsis hilaris Meigen, 1826","Sepsis cynipsea (Linnaeus, 1758)"
"Sepsis incisa Strobl, 1894","Sepsis cynipsea (Linnaeus, 1758)"
"Sepsis pilipes Van der Wulp, 1871","Sepsis duplicata Haliday, 1838"
"Sepsis meijerei Duda, 1926","Sepsis flavimana Meigen, 1826"
"Sepsis tonsa Duda, 1926","Sepsis fulgens Meigen, 1826"
"Sepsis pectoralis Macquart, 1835","Sepsis punctum (Fabricius, 1794)"
"Sericomyia borealis (Fallen, 1816)","Sericomyia silentis (Harris, 1776)"
"Sericostoma timidum Hagen, 1864","Sericostoma schneideri Kolenati, 1848"
"Ephemerella ignita (Poda, 1761)","Serratella ignita (Poda, 1761)"
"Ephemerella torrentium Bengtsson, 1917","Serratella ignita (Poda, 1761)"
"Serromyia nitens Goetghebuer, 1920","Serromyia atra (Meigen, 1818)"
"Serromyia spinosipes Kieffer, 1919","Serromyia atra (Meigen, 1818)"
"Dendroica coronata (Linnaeus, 1766)","Setophaga coronata (Linnaeus, 1766)"
"Paraleius leontonychus (Berlese, 1910)","Siculobata leontycha (Berlese, 1910)"
"Protolichus lunula (Robin, 1877)","Sideroferus lunula (Robin, 1877)"
"Pterolichus lunula Robin, 1877","Sideroferus lunula (Robin, 1877)"
"Sigalion Sigalion mathildae Audouin et Milne-Edwards in Cuvier, 1830","Sigalion mathildae (Audouin et Milne-Edwards in Cuvier, 1830)"
"Setisquamalonchaea fumosa (Egger, 1862)","Silba fumosa (Egger, 1862)"
"Silba setisquama (Czerny, 1934)","Silba fumosa (Egger, 1862)"
"Xandarovula patula (Pennant, 1777)","Simnia patula (Pennant , 1777)"
"Simulium cambriense Davies, 1967","Simulium angustitarse (Lundstrom, 1911)"
"Simulium brevicaule Davies, 1966","Simulium cryophilum (Rubzov, 1959)"
"Simulium subexcisum Edwards, 1915","Simulium latipes (Meigen, 1804)"
"Simulium salopiense Edwards, 1927","Simulium lineatum (Meigen, 1804)"
"Simulium austeni Edwards, 1915","Simulium posticatum (Meigen, 1828)"
"Simulium sublacustre Davies, 1966","Simulium rostratum (Lundstrom, 1911)"
"Simulium verna Macquart, 1826","Simulium vernum Macquart, 1826"
"Sinoxylon sexdentatum (Olivier, 1790)","Sinoxylon muricatum (Linnaeus, 1767)"
"Sinoxylon conigerum Gerstaecker, 1855","Sinoxylon unidentatum (Fabricius, 1801)"
"Siphlonurus linnaeanus (Eaton, 1871)","Siphlonurus alternatus (Say, 1824)"
"Siphlurella linnaeanus (Eaton, 1871)","Siphlonurus alternatus (Say, 1824)"
"Siphona mesnili Andersen, 1982","Siphona confusa Mesnil, 1961"
"Siphona urbana (Harris, 1780)","Siphona geniculata (De Geer, 1776)"
"Sirocalodes nigrinus (Marsham, 1802)","Sirocalodes depressicollis (Gyllenhal, 1813)"
"Sitodiplosis aurantiaca (Wagner, 1866)","Sitodiplosis mosellana (Gehin, 1857)"
"Sitona ononidis Sharp, 1866","Sitona lateralis Gyllenhal, 1834"
"Smerinthus ocellata (Linnaeus, 1758)","Smerinthus ocellatus (Linnaeus, 1758)"
"Sminthurus aquaticus Bourlet, 1842","Sminthurides aquaticus (Bourlet, 1842)"
"Sminthurus niger Lubbock, 1868","Sminthurinus elegans (Fitch, 1863)"
"Smittia foliata (Kieffer, 1906)","Smittia aterrima (Meigen, 1818)"
"Pterolichus rehbergi Canestrini & Berlese, 1880","Sokoloviana rehbergi (Canestrini & Berlese, 1880)"
"Soldanellonyx lacustris Lundblad, 1920","Soldanellonyx monardi Walter, 1919"
"Foersterella flavipes Foerster, 1841","Spalangia erythromera Foerster, 1850"
"Belba torva Oudemans, 1897","Spatiodamaeus verticillipes (Nicolet, 1855)"
"Damaeus quadrihastatus Markel & Meyer, 1960","Spatiodamaeus verticillipes (Nicolet, 1855)"
"Spaziphora falleni (Schiner, 1864)","Spaziphora hydromyzina (Fallen, 1819)"
"Spaziphora fallenii (Schiner, 1864)","Spaziphora hydromyzina (Fallen, 1819)"
"Spaziphora fascipes (Becker, 1894)","Spaziphora hydromyzina (Fallen, 1819)"
"Specaria josinae (Vejdovsky, 1883)","Specaria josinae (Vejdovsky, 1884)"
"Argynnis aglaja (Linnaeus, 1758)","Speyeria aglaja (Linnaeus, 1758)"
"Sphaericus gibbioides (Boieldieu, 1854)","Sphaericus pinguis (Wollaston, 1854)"
"Sphaeriestes ater (Paykull, 1798)","Sphaeriestes stockmanni (Bistrom, 1977)"
"Sphaerodoropsis minuta (Webster et Benedict, 1887)","Sphaerodoridium minutum (Webster & Benedict, 1887)"
"Laelaps holothyroides Leonardi, 1896","Sphaerolaelaps holothyroides (Leonardi, 1896)"
"Sphaeromias goetghebueri De Meijere, 1946","Sphaeromias fasciatus (Meigen, 1804)"
"Sphaeromias candidatus (Loew, 1856)","Sphaeromias miricornis (Kieffer, 1919)"
"Sphaerophoria picta (Meigen, 1822)","Sphaerophoria interrupta (Fabricius, 1805)"
"Sphaerophoria dubia Zetterstedt, 1849","Sphaerophoria philanthus (Meigen, 1822)"
"Sphaerophoria sarmatica Bankowska, 1964","Sphaerophoria philanthus (Meigen, 1822)"
"Sphaerophoria nitidicollis Zetterstedt, 1849","Sphaerophoria rueppelli (Wiedemann, 1830)"
"Sphaerophoria reducta Lucas, 1969","Sphaerophoria scripta (Linnaeus, 1758)"
"Sphecodes fuscipennis (Germar, 1819)","Sphecodes albilabris (Fabricius, 1793)"
"Sphegina kimakowiczi (Strobl, 1897)","Sphegina elegans Schummel, 1843"
"Sphegina clavata (Scopoli, 1763)","Sphegina nigra Meigen, 1822"
"Sphex rufocinctus Brulle, 1833","Sphex flavipennis Fabricius, 1793"
"Spiculopteragia spiculoptera (Gushanskaya in Skrjabin & Orloff, 1934)","Spiculopteragia boehmi (Gebauer, 1932)"
"Spilogona nupta (Zetterstedt, 1845)","Spilogona pacifica (Meigen, 1826)"
"Spilogona vana (Zetterstedt, 1845)","Spilogona pacifica (Meigen, 1826)"
"Spilogona glauca (Stein, 1916)","Spilogona varsaviensis Schnabl in Schnabl & Dziedzicki, 1911"
"Spiniphora domestica (Wood, 1906)","Spiniphora bergenstammi (Mik, 1864)"
"Spiniphora immaculata (Strobl, 1894)","Spiniphora dorsalis (Becker, 1901)"
"Spiniphora helicivora (Dufour, 1841)","Spiniphora maculata (Meigen, 1830)"
"Pteroptus acuminatus Koch, 1836","Spinturnix acuminatus (Koch, 1836)"
"Spinturnix noctulae Oudemans, 1910","Spinturnix acuminatus (Koch, 1836)"
"Pteroptus myoti Kolenati, 1856","Spinturnix myoti (Kolenati, 1856)"
"Spinturnix murinus Oudemans, 1910","Spinturnix myoti (Kolenati, 1856)"
"Diplostaspis mystacinus Kolenati, 1857","Spinturnix mystacinus (Kolenati, 1857)"
